+————+————+————+————+————+———+
| n  | x1 | x2 | x3 | x4 | f |
+————+————+————+————+————+———+
| 0  | 0  | 0  | 0  | 0  | 0 |
| 1  | 0  | 0  | 0  | 1  | 0 |
| 2  | 0  | 0  | 1  | 0  | 0 |
| 3  | 0  | 0  | 1  | 1  | 1 |
| 4  | 0  | 1  | 0  | 0  | 0 |
| 5  | 0  | 1  | 0  | 1  | 0 |
| 6  | 0  | 1  | 1  | 0  | 1 |
| 7  | 0  | 1  | 1  | 1  | 1 |
| 8  | 1  | 0  | 0  | 0  | 0 |
| 9  | 1  | 0  | 0  | 1  | 0 |
| 10 | 1  | 0  | 1  | 0  | 1 |
| 11 | 1  | 0  | 1  | 1  | 1 |
| 12 | 1  | 1  | 0  | 0  | 0 |
| 13 | 1  | 1  | 0  | 1  | 0 |
| 14 | 1  | 1  | 1  | 0  | 1 |
| 15 | 1  | 1  | 1  | 1  | 1 |
+————+————+————+————+————+———+
